"Quantile","Year","Season","Northing.Est","Northing.SD","Easting.Est","Easting.SD","strata"
"0.95",1998,"Spring",4847.26331203417,41.1008930097005,632.699311000702,31.46198235086,"ALL"
"0.95",1998,"Fall",4872.23083745789,19.1327894825634,663.031891388692,29.7348912641871,"ALL"
"0.95",1999,"Spring",4841.88211018518,36.5315956749394,656.980110112802,32.9408180231301,"ALL"
"0.95",1999,"Fall",4871.51534165957,17.1273924506304,634.96970287298,26.050530517081,"ALL"
"0.95",2000,"Spring",4871.51534165957,22.9221232789556,670.838933642211,30.9157800937502,"ALL"
"0.95",2000,"Fall",4918.44574654881,10.3925770648478,721.822266975544,28.5753269476032,"ALL"
"0.95",2001,"Spring",4889.03532526277,20.0344925887166,671.945437707252,35.7043417522831,"ALL"
"0.95",2001,"Fall",4917.85668930975,13.4020330907061,710.659623297384,30.2803637738199,"ALL"
"0.95",2002,"Spring",4895.90951371687,15.6768265313159,663.031891388692,30.3010860536172,"ALL"
"0.95",2002,"Fall",4867.20266354485,17.1299321953075,691.791034482547,39.9721960204114,"ALL"
"0.95",2003,"Spring",4736.32960381304,49.9409539269364,536.188506291785,60.8008260303366,"ALL"
"0.95",2003,"Fall",4893.27845950513,15.4058556510525,701.53045906594,13.5395198552091,"ALL"
"0.95",2004,"Spring",4872.67216029253,13.7389195536413,676.515124118401,15.2155136754369,"ALL"
"0.95",2004,"Fall",4871.51534165957,21.40958640208,710.659623297384,19.766814487005,"ALL"
"0.95",2005,"Spring",4849.89769460076,33.4581455057791,687.038933642211,18.5732278049823,"ALL"
"0.95",2005,"Fall",4879.18553052721,27.4961143085341,659.905005070783,23.4011948943323,"ALL"
"0.95",2006,"Spring",4828.83176053483,17.4652872660899,627.724118827397,46.3623235429054,"ALL"
"0.95",2006,"Fall",4866.88641640527,18.9804831842452,681.755600308878,23.7290847193892,"ALL"
"0.95",2007,"Spring",4876.80483745789,35.1156236644151,657.038933642212,33.486534803176,"ALL"
"0.95",2007,"Fall",4876.80483745789,25.2422245778025,721.822266975544,24.4877081375363,"ALL"
"0.95",2008,"Spring",4840.58519460076,44.1142047025318,644.122266975545,24.9525678810518,"ALL"
"0.95",2008,"Fall",4839.82110251814,40.3707894698737,670.496380450722,20.9833774443954,"ALL"
"0.95",2009,"Spring",4803.55580833169,41.7400961780786,687.038933642211,26.1962089516207,"ALL"
"0.95",2009,"Fall",4872.23083745789,31.8309052863008,681.755600308878,31.4970421230745,"ALL"
"0.95",2010,"Spring",4840.58519460076,38.434188550587,656.980110112802,29.6253768910248,"ALL"
"0.95",2010,"Fall",4913.97011523565,29.8661726926931,721.822266975544,13.0461450363223,"ALL"
"0.95",2011,"Spring",4894.95007555314,29.5905585757865,721.822266975544,18.700848428384,"ALL"
"0.95",2011,"Fall",4858.63665563972,17.8547287873418,701.53045906594,19.8465857396072,"ALL"
"0.95",2012,"Spring",4935.69173066179,22.4669681498045,663.031891388692,21.6561759408884,"ALL"
"0.95",2012,"Fall",4861.59671779977,24.0740574779277,716.538933642211,23.035520839407,"ALL"
"0.95",2013,"Spring",4853.81965227272,33.5789051527343,734.343281468298,29.7835612795323,"ALL"
"0.95",2013,"Fall",4861.59671779977,26.298864715427,735.658591761869,15.81759866817,"ALL"
"0.95",2014,"Spring",4860.35828573376,20.8834462919519,691.830969040441,23.9327408977666,"ALL"
"0.95",2014,"Fall",4936.448385845,19.6457970780189,709.496916835488,20.5440980517299,"ALL"
"0.95",2015,"Spring",4930.07775412457,29.2060610455588,668.082933642211,20.1463417899405,"ALL"
"0.95",2015,"Fall",4883.71583036568,29.4386428324238,735.658591761869,11.8654517804121,"ALL"
"0.95",2016,"Spring",4929.2348374579,18.0907948684323,734.975553360521,9.89197335500931,"ALL"
"0.95",2016,"Fall",4874.66049783526,37.2450246845175,676.515124118401,25.9201422930032,"ALL"
"0.95",2017,"Spring",4857.42150412456,32.1673857982044,670.496380450722,25.238726697562,"ALL"
"0.95",2017,"Fall",4927.88527224051,20.3017551562613,720.633761228418,20.9985804929735,"ALL"
"0.95",2018,"Spring",4861.59671779977,28.9903481944284,656.980110112802,26.5463902385913,"ALL"
"0.95",2018,"Fall",4916.84775781188,40.0938404489369,724.487651590929,12.6752869387303,"ALL"
"0.95",2019,"Spring",4759.29650412456,44.7299505101709,698.423549026826,13.443822901017,"ALL"
"0.95",2019,"Fall",4945.74013157555,37.6728436177394,701.53045906594,20.8209565542363,"ALL"
"0.95",2020,"Spring",4797.84137591944,50.6070439008994,687.882933642211,32.6328987361964,"ALL"
"0.95",2020,"Fall",4866.88641640527,37.8981286562635,620.281790785069,44.4357740119997,"ALL"
"0.95",2021,"Spring",4698.47413570352,32.0198285686202,689.793032002867,16.5476516749392,"ALL"
"0.95",2021,"Fall",4805.60535292182,51.6106294744742,745.480110112799,15.080490143733,"ALL"
